WaitTime,QueueLength
40.05460221863126,6.0
39.178304866086265,8.0
35.53783156091076,6.0
20.314693399816093,7.0
20.305346119621788,4.0
20.079518915558587,5.0
2.804539928432476,5.0
39.471538708269975,5.0
39.51511666930921,2.0
38.33446364424118,3.0
37.97898596143406,5.0
38.85218322589776,3.0
39.34540698902347,4.0
31.62769232342069,6.0
15.732952371986087,6.0
51.170187628852574,3.0
49.70961585232686,5.0
39.28188563679382,
25.474180786542007,
20.873360609132305,
19.346931760459967,
5.167107559366627,
43.96416491359173,
43.48427088359219,
31.68186050760056,
29.303118051561825,
22.656127692026132,
14.598425116560747,
11.546772204785896,
1.9732342357532957,
52.838990991376164,
20.727506873000436,
12.70941942712011,
13.199522533624815,
48.874391229242576,
42.148391632665835,
13.470833449330826,
13.661212050350628,
7.8747367662362535,
2.679046782339924,
2.863399868202748,
35.52978057927379,
33.56734961049949,
29.094935624992388,
27.59368184053568,
16.851117666667108,
0.08781456003111998,
38.11330532530354,
26.32819793158137,
22.346825465314282,
17.574689686735326,
8.236172348037599,
2.930879294369447,
32.84018544996934,
11.111271629673297,
41.00708947437499,
20.660081659302932,
5.119369020837894,
5.158787602236885,
2.972068088375181,
47.84422308756075,
45.69178324443715,
45.023843144054126,
45.091021078331096,
12.30494377614093,
51.93145172308596,
36.46838618534491,
8.107167572857065,
50.46596903994998,
35.27999492938409,
35.17073872629908,
19.711517610158126,
1.354918919683655,
24.69807411868055,
18.77389498073717,
19.6280964302224,
18.70360632594884,
16.822797182827344,
17.79663649531267,
0.78339575097732,
0.8991266963352018,
51.90629109324777,
49.50384652134858,
46.840727924701014,
40.942432924504146,
31.974641303779208,
14.426583810229431,
6.564172894419698,
5.051307118113186,
3.0738885217842835,
47.25514962795785,
35.266501702990126,
14.915743803519604,
2.384765293483156,
43.222378053702755,
33.910106138896595,
14.577214986835429,
10.78105739309433,
9.738871690670862,
